3110,Sun Jan 08 14:04:30 +0000 2017,"RT @em_com: Bom dia! Esta é a capa do Estado de Minas deste domingo, 8 de janeiro de 2017. Leia mais em https://t.co/rapYrfsnzQ https://t.c…",,,,Fabio Silva,fabio9846,6,Neutro
3111,Mon Jan 09 09:05:50 +0000 2017,"RT @em_com: Bom dia! Veja a capa da edição digital do Estado de Minas de hoje, 09 de janeiro. Leia mais no https://t.co/rapYrfsnzQ https://…",,,"Belo Horizonte, Minas Gerais",Leonardo Godinho,LeozitoCabrito,7,Neutro
3112,Mon Jan 09 10:01:24 +0000 2017,"RT @em_com: Bom dia! Veja a capa da edição digital do Estado de Minas de hoje, 09 de janeiro. Leia mais no https://t.co/rapYrfsnzQ https://…",,,,idavinger,idavinger,7,Neutro
3113,Mon Jan 09 12:05:58 +0000 2017,"RT @em_com: Bom dia! Veja a capa da edição digital do Estado de Minas de hoje, 09 de janeiro. Leia mais no https://t.co/rapYrfsnzQ https://…",,,Brazil,Heber Dias,prosapolitica,7,Neutro
3114,Mon Jan 09 12:08:08 +0000 2017,"RT @em_com: Bom dia! Veja a capa da edição digital do Estado de Minas de hoje, 09 de janeiro. Leia mais no https://t.co/rapYrfsnzQ https://…",,,Araraquara SP,jose luis freitas de,joseluisfreita2,7,Neutro
3115,Mon Jan 09 12:16:28 +0000 2017,"RT @em_com: Bom dia! Veja a capa da edição digital do Estado de Minas de hoje, 09 de janeiro. Leia mais no https://t.co/rapYrfsnzQ https://…",,,,Hudson de souza,hudsondesouza11,7,Neutro
3116,Mon Jan 09 12:40:41 +0000 2017,"RT @em_com: Bom dia! Veja a capa da edição digital do Estado de Minas de hoje, 09 de janeiro. Leia mais no https://t.co/rapYrfsnzQ https://…",,,Brasil,Vitor Santos,jornalistavitor,7,Neutro
3117,Sat Jan 07 11:06:46 +0000 2017,RT @em_com: Esta é a capa do Estado de Minas deste sábado. Saiba tudo em https://t.co/rapYrfsnzQ https://t.co/BN2QsuZKmx,,,Congonhas-MG,Adriano Frederico®,Frederico0610,6,Neutro
3118,Sat Jan 07 11:57:10 +0000 2017,RT @em_com: Esta é a capa do Estado de Minas deste sábado. Saiba tudo em https://t.co/rapYrfsnzQ https://t.co/BN2QsuZKmx,,,Brasil,Vitor Santos,jornalistavitor,6,Neutro
3119,Sat Jan 07 11:57:47 +0000 2017,RT @em_com: Esta é a capa do Estado de Minas deste sábado. Saiba tudo em https://t.co/rapYrfsnzQ https://t.co/BN2QsuZKmx,,,"Rio de Janeiro, Brasil",#NOTÍCIAS ???,___DENISE___EU_,6,Neutro
3120,Sat Jan 07 16:32:39 +0000 2017,RT @em_com: Esta é a capa do Estado de Minas deste sábado. Saiba tudo em https://t.co/rapYrfsnzQ https://t.co/BN2QsuZKmx,,,Brazil,Heber Dias,prosapolitica,6,Neutro
3121,Mon Jan 09 20:03:36 +0000 2017,RT @em_com: Estado amplia para 23 o número de casos suspeitos de #FebreAmarela em Minas https://t.co/7BzpcWkNHg,,,"Araxá, Minas Gerais",@magela_pires,pires_magela,1,Neutro
3122,Thu Jan 05 01:10:07 +0000 2017,RT @epocanegocios: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/K6plvNsHyA https://t.co/bl9UV8s6aj,,,Sorocaba - SP,Esportes/Atualidades,oyrnni,10,Negativo
